GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US91355,91355,ZCTA5 91355,33129,1114
8600000US91356,91356,ZCTA5 91356,29728,1151
8600000US91360,91360,ZCTA5 91360,43222,878
8600000US91361,91361,ZCTA5 91361,20808,701
8600000US91362,91362,ZCTA5 91362,35862,866
8600000US91364,91364,ZCTA5 91364,27607,975
8600000US91367,91367,ZCTA5 91367,42319,1399
8600000US91371,91371,ZCTA5 91371,0,12
8600000US91377,91377,ZCTA5 91377,14885,640
8600000US91381,91381,ZCTA5 91381,20790,741
8600000US91384,91384,ZCTA5 91384,29676,747
8600000US91387,91387,ZCTA5 91387,44106,1277
8600000US91390,91390,ZCTA5 91390,20546,777
8600000US91401,91401,ZCTA5 91401,41019,1355
8600000US91402,91402,ZCTA5 91402,71765,1534
8600000US91403,91403,ZCTA5 91403,24579,908
8600000US91405,91405,ZCTA5 91405,54356,1782
8600000US91406,91406,ZCTA5 91406,55385,1421
8600000US91411,91411,ZCTA5 91411,25290,1039
8600000US91423,91423,ZCTA5 91423,34140,1220
8600000US91436,91436,ZCTA5 91436,14353,757
8600000US91501,91501,ZCTA5 91501,20110,1023
8600000US91502,91502,ZCTA5 91502,12080,932
8600000US91504,91504,ZCTA5 91504,26833,1082
8600000US91505,91505,ZCTA5 91505,30985,879
8600000US91506,91506,ZCTA5 91506,18125,695
8600000US91601,91601,ZCTA5 91601,39318,1341
8600000US91602,91602,ZCTA5 91602,18615,791
8600000US91604,91604,ZCTA5 91604,30386,1068
8600000US91605,91605,ZCTA5 91605,55377,1635
8600000US91606,91606,ZCTA5 91606,45040,1275
8600000US91607,91607,ZCTA5 91607,31405,1158
8600000US91608,91608,ZCTA5 91608,0,12
8600000US91701,91701,ZCTA5 91701,40870,1286
8600000US91702,91702,ZCTA5 91702,61968,977
8600000US91706,91706,ZCTA5 91706,77667,147
8600000US91708,91708,ZCTA5 91708,2893,447
8600000US91709,91709,ZCTA5 91709,77266,53
8600000US91710,91710,ZCTA5 91710,87071,1049
8600000US91711,91711,ZCTA5 91711,36957,398
8600000US91722,91722,ZCTA5 91722,35407,1357
8600000US91723,91723,ZCTA5 91723,19258,969
8600000US91724,91724,ZCTA5 91724,26190,1325
8600000US91730,91730,ZCTA5 91730,68807,1675
8600000US91731,91731,ZCTA5 91731,30179,1320
8600000US91732,91732,ZCTA5 91732,62855,1529
8600000US91733,91733,ZCTA5 91733,44622,1129
8600000US91737,91737,ZCTA5 91737,25508,888
8600000US91739,91739,ZCTA5 91739,38681,1336
8600000US91740,91740,ZCTA5 91740,26555,976
8600000US91741,91741,ZCTA5 91741,25780,933
8600000US91744,91744,ZCTA5 91744,86638,2024
8600000US91745,91745,ZCTA5 91745,54043,1375
8600000US91746,91746,ZCTA5 91746,31319,1244
8600000US91748,91748,ZCTA5 91748,46565,1174
8600000US91750,91750,ZCTA5 91750,34156,457
8600000US91752,91752,ZCTA5 91752,29801,1312
8600000US91754,91754,ZCTA5 91754,33514,695
8600000US91755,91755,ZCTA5 91755,27487,692
8600000US91759,91759,ZCTA5 91759,417,97
8600000US91761,91761,ZCTA5 91761,59933,1425
8600000US91762,91762,ZCTA5 91762,58223,1542
8600000US91763,91763,ZCTA5 91763,37786,294
8600000US91764,91764,ZCTA5 91764,54303,1126
8600000US91765,91765,ZCTA5 91765,47493,559
8600000US91766,91766,ZCTA5 91766,72100,1670
8600000US91767,91767,ZCTA5 91767,49483,1308
8600000US91768,91768,ZCTA5 91768,36365,1143
8600000US91770,91770,ZCTA5 91770,63552,926
8600000US91773,91773,ZCTA5 91773,34222,262
8600000US91775,91775,ZCTA5 91775,25389,880
8600000US91776,91776,ZCTA5 91776,37843,867
8600000US91780,91780,ZCTA5 91780,35674,784
8600000US91784,91784,ZCTA5 91784,25999,731
8600000US91786,91786,ZCTA5 91786,52951,643
8600000US91789,91789,ZCTA5 91789,43973,796
8600000US91790,91790,ZCTA5 91790,46374,1216
8600000US91791,91791,ZCTA5 91791,33484,1275
8600000US91792,91792,ZCTA5 91792,29493,1018
8600000US91801,91801,ZCTA5 91801,55265,811
8600000US91803,91803,ZCTA5 91803,29502,813
8600000US91901,91901,ZCTA5 91901,18586,881
8600000US91902,91902,ZCTA5 91902,19429,1116
8600000US91905,91905,ZCTA5 91905,1539,569
8600000US91906,91906,ZCTA5 91906,3565,535
8600000US91910,91910,ZCTA5 91910,76027,1940
8600000US91911,91911,ZCTA5 91911,84241,2003
8600000US91913,91913,ZCTA5 91913,47494,2407
8600000US91914,91914,ZCTA5 91914,16865,983
8600000US91915,91915,ZCTA5 91915,30679,1385
8600000US91916,91916,ZCTA5 91916,1542,281
8600000US91917,91917,ZCTA5 91917,937,443
8600000US91931,91931,ZCTA5 91931,474,241
8600000US91932,91932,ZCTA5 91932,26801,197
8600000US91934,91934,ZCTA5 91934,274,183
8600000US91935,91935,ZCTA5 91935,8347,739
8600000US91941,91941,ZCTA5 91941,33077,1045
8600000US91942,91942,ZCTA5 91942,39795,716
8600000US91945,91945,ZCTA5 91945,26673,228
8600000US91948,91948,ZCTA5 91948,13,20
8600000US91950,91950,ZCTA5 91950,62078,430
8600000US91962,91962,ZCTA5 91962,2190,425
8600000US91963,91963,ZCTA5 91963,988,314
8600000US91977,91977,ZCTA5 91977,62065,1690
8600000US91978,91978,ZCTA5 91978,9804,706
8600000US91980,91980,ZCTA5 91980,595,832
8600000US92003,92003,ZCTA5 92003,4905,745
8600000US92004,92004,ZCTA5 92004,2520,768
8600000US92007,92007,ZCTA5 92007,11929,767
8600000US92008,92008,ZCTA5 92008,26968,1203
8600000US92009,92009,ZCTA5 92009,44330,1013
8600000US92010,92010,ZCTA5 92010,15551,976
8600000US92011,92011,ZCTA5 92011,24899,953
8600000US92014,92014,ZCTA5 92014,13665,509
8600000US92019,92019,ZCTA5 92019,43200,1541
8600000US92020,92020,ZCTA5 92020,58554,1505
8600000US92021,92021,ZCTA5 92021,69552,1826
