xYear,State,County,Zip,Schedule_Group,rundatetime,RxCount,Population
2015,CA,Los Angeles,90731,2,01APR2018:11:21:17,6749,"59,662"
2015,CA,Los Angeles,90732,2,01APR2018:11:21:17,20093,"21,115"
2015,CA,Los Angeles,90733,2,06MAY2016:01:08:29,59,
2015,CA,Los Angeles,90734,2,06MAY2016:01:08:29,0,
2015,CA,Orange,90740,2,01APR2018:11:21:17,12575,"23,729"
2015,CA,Orange,90742,2,01APR2018:11:21:17,23,831
2015,CA,Orange,90743,2,01APR2018:11:21:17,0,456
2015,CA,Los Angeles,90744,2,01APR2018:11:21:17,3297,"53,815"
2015,CA,Los Angeles,90745,2,01APR2018:11:21:17,8150,"57,251"
2015,CA,Los Angeles,90746,2,01APR2018:11:21:17,5024,"25,990"
2015,CA,Los Angeles,90747,2,01APR2018:11:21:17,5,0
2015,CA,Los Angeles,90748,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90749,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90755,2,01APR2018:11:21:17,826,"11,074"
2015,CA,Los Angeles,90801,2,06MAY2016:01:08:29,2316,
2015,CA,Los Angeles,90802,2,01APR2018:11:21:17,10266,"39,347"
2015,CA,Los Angeles,90803,2,01APR2018:11:21:17,9013,"32,031"
2015,CA,Los Angeles,90804,2,01APR2018:11:21:17,21943,"40,311"
2015,CA,Los Angeles,90805,2,01APR2018:11:21:17,11341,"93,524"
2015,CA,Los Angeles,90806,2,01APR2018:11:21:17,77796,"42,399"
2015,CA,Los Angeles,90807,2,01APR2018:11:21:17,29719,"31,481"
2015,CA,Los Angeles,90808,2,01APR2018:11:21:17,13605,"38,232"
2015,CA,Los Angeles,90809,2,06MAY2016:01:08:29,1,
2015,CA,Los Angeles,90810,2,01APR2018:11:21:17,171,"36,735"
2015,CA,Los Angeles,90813,2,01APR2018:11:21:17,37301,"58,911"
2015,CA,Los Angeles,90814,2,01APR2018:11:21:17,1629,"19,131"
2015,CA,Los Angeles,90815,2,01APR2018:11:21:17,28568,"39,733"
2015,CA,Los Angeles,90822,2,01APR2018:11:21:17,856,117
2015,CA,Los Angeles,90831,2,01APR2018:11:21:17,0,0
2015,CA,Los Angeles,90832,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90833,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90834,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90835,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90840,2,06MAY2016:01:08:29,72,
2015,CA,Los Angeles,90842,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90844,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90846,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90847,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90848,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90853,2,06MAY2016:01:08:29,117,
2015,CA,Los Angeles,90895,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,90899,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91001,2,01APR2018:11:21:17,8191,"36,126"
2015,CA,Los Angeles,91003,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91006,2,01APR2018:11:21:17,27911,"31,715"
2015,CA,Los Angeles,91007,2,01APR2018:11:21:17,27262,"34,095"
2015,CA,Los Angeles,91008,2,01APR2018:11:21:17,357,"1,391"
2015,CA,Los Angeles,91009,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91010,2,01APR2018:11:21:17,19954,"26,074"
2015,CA,Los Angeles,91011,2,01APR2018:11:21:17,12450,"20,280"
2015,CA,Los Angeles,91012,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91016,2,01APR2018:11:21:17,5338,"40,598"
2015,CA,Los Angeles,91017,2,06MAY2016:01:08:29,23,
2015,CA,Los Angeles,91020,2,01APR2018:11:21:17,4131,"8,415"
2015,CA,Los Angeles,91021,2,06MAY2016:01:08:29,31,
2015,CA,Los Angeles,91023,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91024,2,01APR2018:11:21:17,2922,"10,917"
2015,CA,Los Angeles,91025,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91030,2,01APR2018:11:21:17,5382,"25,616"
2015,CA,Los Angeles,91031,2,06MAY2016:01:08:29,173,
2015,CA,Los Angeles,91040,2,01APR2018:11:21:17,612,"20,372"
2015,CA,Los Angeles,91041,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91042,2,01APR2018:11:21:17,1659,"27,585"
2015,CA,Los Angeles,91043,2,06MAY2016:01:08:29,0,
2015,CA,Los Angeles,91046,2,01APR2018:11:21:17,140,156
2015,CA,Los Angeles,91066,2,06MAY2016:01:08:29,280,
