,Zip,County,State,Year,Total Pop,Male Pop,Pct Male,Female Pop,Pct Female,Total Employable Pop,Full Time Employed Pop,Pct Full Time Employed,Total Households,Household Median Income,Insurable Pop,Insured Pop,Pct Insured,Uninsured Pop,ADI State Rank,ADI Natl Rank,CA DOI Underserved Flag,Tapestry Seg Nr,Tapestry Seg Code,Tapestry Seg Name,Lifemode Code,Lifemode Group,AS Only,ED Only,Inpatient,Inpatient from ED,Opioid Rx Count,Pop w Opioid Rx,Tot Opioid Rx Fills,C2,C3,C4,C2-C4,"AS per 1,000","ED per 1,000","IP per 1,000","IP via ED per 1,000","C2 per 1,000","C3 per 1,000","C4 per 1,000","C2-C4 per 1,000","Opioid Rx per 1,000","Pop w Opioid Rx per 1,000"
899,94506,Contra Costa,CA,2016,24371,11626,47.7,12745,52.3,15438,7808,69.3,8207,175947,24294,23969,98.7,325,1.0,1.5516074450084605,N,1.0,1A,Top Tier,1.0,Affluent Estates,1422.0,3611.0,736.0,655.0,5425,2518,5094,11632,1517,12482,25631,58.348036600878096,148.16790447663206,30.19982766402692,26.876205326002214,477.28858069016457,62.24611218251201,512.1660990521522,1051.7007919248288,222.60063189856797,103.31951910057036
900,94507,Contra Costa,CA,2016,16205,8435,52.1,7770,47.9,9512,4367,62.1,5500,172414,16186,15834,97.8,352,1.0,1.0647816750178956,N,1.0,1A,Top Tier,1.0,Affluent Estates,892.0,2793.0,518.0,581.0,4721,2033,4142,3159,520,4086,7765,55.04473927800062,172.35421166306693,31.965442764578835,35.85313174946005,194.93983338475778,32.088861462511574,252.14439987658133,479.1730947238507,291.32983647022525,125.45510644862698
901,94508,Napa,CA,2016,4268,2131,49.9,2137,50.1,3297,953,35.5,1082,68176,4268,3959,92.8,309,2.953316953316953,6.932841932841932,N,17.0,5B,In Style,5.0,GenXurban,264.0,748.0,82.0,77.0,850,363,797,64,9,20,93,61.855670103092784,175.25773195876286,19.212746016869726,18.04123711340206,14.99531396438613,2.1087160262417997,4.686035613870665,21.790065604498594,199.15651358950328,85.05154639175258
902,94509,Contra Costa,CA,2016,64412,31053,48.2,33359,51.8,42282,16275,56.2,21443,55022,64184,57200,89.1,6984,7.791356783919598,48.0094472361809,N,37.0,8E,Front Porches,7.0,Ethnic Enclaves,3363.0,41754.0,3525.0,4502.0,40381,11966,39371,32183,3049,16830,52062,52.21076817984226,648.2332484630193,54.7258274855617,69.89380860709186,499.6429236788176,47.335900142830525,261.286716760852,808.2655405825001,626.917344594175,185.77283735949823
903,94510,Solano,CA,2016,27786,13536,48.7,14250,51.3,17977,8622,60.7,11007,87569,27755,26317,94.8,1438,3.7198480531813862,12.975546058879392,N,17.0,5B,In Style,1.0,Affluent Estates,1462.0,7596.0,1167.0,1064.0,11666,3930,11131,4995,446,3217,8658,52.61642553804074,273.3750809760311,41.99956812783416,38.29266537105017,179.766789030447,16.051248830346218,115.77772979198157,311.5957676527748,419.85172388972865,141.4381343122436
904,94512,Solano,CA,2016,96,31,32.3,65,67.7,65,32,100.0,31,0,96,96,100.0,0,8.0,39.0,N,21.0,6A,Green Acres,6.0,Cozy Country Living,12.0,57.0,5.0,5.0,52,22,48,0,0,0,0,125.0,593.75,52.083333333333336,52.083333333333336,0.0,0.0,0.0,0.0,541.6666666666666,229.16666666666666
905,94513,Contra Costa,CA,2016,59444,29279,49.3,30165,50.7,37218,17404,62.2,18745,93951,59366,56248,94.7,3118,5.326530612244898,22.445269016697587,N,13.0,4A,Soccer Moms,4.0,Family Landscapes,2956.0,19022.0,2581.0,2340.0,25829,8695,24666,10243,989,11489,22721,49.72747459794092,319.9986541955454,43.419016216943675,39.36478029742278,172.3134378574793,16.63750757015006,193.2743422380728,382.2252876657022,434.50979072740733,146.27212166072272
906,94514,Contra Costa,CA,2016,1358,738,54.3,620,45.7,895,377,61.1,434,54348,1278,1087,85.1,191,3.912948857453754,15.589771490750813,N,33.0,8A,City Lights,8.0,Middle Ground,78.0,628.0,66.0,66.0,813,310,798,62,0,1,63,57.437407952871865,462.44477172312224,48.60088365243004,48.60088365243004,45.65537555228276,0.0,0.7363770250368188,46.391752577319586,598.6745213549337,228.27687776141383
907,94515,Napa,CA,2016,7379,4124,55.9,3255,44.1,4618,2029,55.8,2804,64505,7336,6371,86.8,965,6.173711100789597,46.62052949372968,N,23.0,6C,The Great Outdoors,6.0,Cozy Country Living,670.0,2114.0,293.0,297.0,2322,898,2199,186,91,380,657,90.79821113972083,286.4886841035371,39.70727740886299,40.24935628133894,25.206667570131454,12.332294348827753,51.4974928852148,89.036454804174,314.6767854722862,121.69670687084971
908,94517,Contra Costa,CA,2016,13139,6369,48.5,6770,51.5,8491,3849,59.7,4737,128398,13067,12840,98.3,227,2.1308165057067603,4.573748902546093,N,4.0,1D,Savvy Suburbanites,1.0,Affluent Estates,646.0,2985.0,502.0,484.0,4933,1673,4646,1042,317,2401,3760,49.16660324225588,227.1862394398356,38.206865058223606,36.83689778521958,79.30588324834461,24.126645863459927,182.73841236014917,286.1709414719537,375.4471420960499,127.33084709643047
