xYear,State,County,Zip,Pph_Frq,rundatetime,Count_Opioid_Pph,Count_Schedule2_Pph,Population
2015,CA,Los Angeles,90706,1-7 Rx/Yr.,01APR2018:11:21:17,36,38,"76,615"
2015,CA,Los Angeles,90707,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90710,1-7 Rx/Yr.,01APR2018:11:21:17,47,53,"25,457"
2015,CA,Los Angeles,90711,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90712,1-7 Rx/Yr.,01APR2018:11:21:17,32,31,"31,499"
2015,CA,Los Angeles,90713,1-7 Rx/Yr.,01APR2018:11:21:17,3,4,"27,925"
2015,CA,Los Angeles,90714,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90715,1-7 Rx/Yr.,01APR2018:11:21:17,5,2,"20,388"
2015,CA,Los Angeles,90716,1-7 Rx/Yr.,01APR2018:11:21:17,0,7,"14,184"
2015,CA,Los Angeles,90717,1-7 Rx/Yr.,01APR2018:11:21:17,13,9,"21,318"
2015,CA,Orange,90720,1-7 Rx/Yr.,01APR2018:11:21:17,74,61,"21,751"
2015,CA,Orange,90721,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90723,1-7 Rx/Yr.,01APR2018:11:21:17,22,23,"54,099"
2015,CA,Los Angeles,90731,1-7 Rx/Yr.,01APR2018:11:21:17,21,13,"59,662"
2015,CA,Los Angeles,90732,1-7 Rx/Yr.,01APR2018:11:21:17,18,17,"21,115"
2015,CA,Los Angeles,90733,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90734,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Orange,90740,1-7 Rx/Yr.,01APR2018:11:21:17,16,15,"23,729"
2015,CA,Orange,90742,1-7 Rx/Yr.,01APR2018:11:21:17,1,2,831
2015,CA,Orange,90743,1-7 Rx/Yr.,01APR2018:11:21:17,1,0,456
2015,CA,Los Angeles,90744,1-7 Rx/Yr.,01APR2018:11:21:17,10,11,"53,815"
2015,CA,Los Angeles,90745,1-7 Rx/Yr.,01APR2018:11:21:17,21,17,"57,251"
2015,CA,Los Angeles,90746,1-7 Rx/Yr.,01APR2018:11:21:17,4,5,"25,990"
2015,CA,Los Angeles,90747,1-7 Rx/Yr.,01APR2018:11:21:17,1,2,0
2015,CA,Los Angeles,90748,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90749,1-7 Rx/Yr.,06MAY2016:00:46:51,0,0,
2015,CA,Los Angeles,90755,1-7 Rx/Yr.,01APR2018:11:21:17,4,3,"11,074"
2015,CA,Los Angeles,90801,1-7 Rx/Yr.,06MAY2016:00:46:51,3,4,
2015,CA,Los Angeles,90802,1-7 Rx/Yr.,01APR2018:11:21:17,18,15,"39,347"
2015,CA,Los Angeles,90803,1-7 Rx/Yr.,01APR2018:11:21:17,20,22,"32,031"
2015,CA,Los Angeles,90804,1-7 Rx/Yr.,01APR2018:11:21:17,23,22,"40,311"
2015,CA,Los Angeles,90805,1-7 Rx/Yr.,01APR2018:11:21:17,25,20,"93,524"
2015,CA,Los Angeles,90806,1-7 Rx/Yr.,01APR2018:11:21:17,118,97,"42,399"
2015,CA,Los Angeles,90807,1-7 Rx/Yr.,01APR2018:11:21:17,54,50,"31,481"
2015,CA,Los Angeles,90808,1-7 Rx/Yr.,01APR2018:11:21:17,30,30,"38,232"
2015,CA,Los Angeles,90809,1-7 Rx/Yr.,06MAY2016:00:46:51,1,1,
2015,CA,Los Angeles,90810,1-7 Rx/Yr.,01APR2018:11:21:17,3,4,"36,735"
2015,CA,Los Angeles,90813,1-7 Rx/Yr.,01APR2018:11:21:17,35,37,"58,911"
2015,CA,Los Angeles,90814,1-7 Rx/Yr.,01APR2018:11:21:17,8,7,"19,131"
2015,CA,Los Angeles,90815,1-7 Rx/Yr.,01APR2018:11:21:17,41,35,"39,733"
2015,CA,Los Angeles,90822,1-7 Rx/Yr.,01APR2018:11:21:17,27,18,117
