xYear,State,County,Zip,rundatetime,Rx_count_Pat,Rx_count_Pph,Rx_count_Dis,Pat_count,PillCount_Total_Pph,PillCount_Total_Dis,PillCount_Total_Pat,RxCount_Total_Pat,PillCount_Mean_Pat,PatCount_OpBenzo_Pat,MoEquiv_Total_Pph,Schedule2_Rx_Total_Pph,Schedule234Multi_Pat_Total_Pat,PillCount_Schedule234_Rx_Pph,RxCount_Schedule234_Rx_Pph,PillMean_Schedule234_Rx_Pph,PillCount_Schedule2_Rx_Pph,RxCount_Schedule2_Rx_Pph,PillMean_Schedule2_Rx_Pph,RegCount_Pph,RegCount_Dis,PatCount_MultiDisp,PatCount_MultiRxer,InqCount_Pph,InqCount_Dis,PphCount_RxBenzoOpioid,PatCount_Rx90MME,PatCount_Rx40Methadone,Population
2016,CA,Los Angeles,90263,01APR2018:11:21:17,36,1,0,21,15,0,2026,34,59.6,4,2821,294,2,1185,16,74.1,21264,515,41.3,1,0,0,0,0,0,0,3,0,"1,612"
2016,CA,Los Angeles,90264,10SEP2017:10:31:20,44,0,0,27,0,0,1763,41,43,0,,0,3,0,0,,0,0,,0,0,0,1,0,0,0,0,0,
2016,CA,Los Angeles,90265,01APR2018:11:21:17,5686,2636,4167,2448,144792,256685,340867,5451,62.5,382,263458,2493,164,31131,543,57.3,276722,4738,58.4,65,8,2,167,79,757,13,332,1,"18,116"
2016,CA,Los Angeles,90266,01APR2018:11:21:17,7191,13729,7795,3843,505985,586934,380729,6793,56,894,465254,8301,154,32117,810,39.7,669379,16550,40.4,225,43,2,194,6940,5521,63,733,6,"35,135"
2016,CA,Los Angeles,90267,10SEP2017:10:31:20,73,39,0,45,362,0,3447,72,47.9,3,682,25,2,22,3,7.3,362,37,9.8,3,1,0,0,29,0,1,6,0,
2016,CA,Los Angeles,90270,01APR2018:11:21:17,2804,1820,1675,1628,46453,62669,124491,2694,46.2,68,37116,324,29,3165,94,33.7,25763,718,35.9,5,4,0,77,6,960,5,30,0,"27,372"
2016,CA,Los Angeles,90272,01APR2018:11:21:17,5174,5935,3914,2619,216737,231460,269967,4929,54.8,458,244109,4009,132,26740,569,47,363662,7420,49,82,26,0,223,1510,6792,25,357,6,"22,986"
2016,CA,Los Angeles,90274,01APR2018:11:21:17,5516,4567,3978,3002,208098,392914,292333,5192,56.3,457,222258,3810,103,25965,469,55.4,337621,6878,49.1,135,43,1,138,4644,6248,30,270,4,"25,209"
2016,CA,Los Angeles,90275,01APR2018:11:21:17,8522,4000,1950,4333,115877,121870,465364,7958,58.5,331,184094,1874,130,6429,203,31.7,116717,3058,38.2,99,52,1,216,8979,11920,20,393,14,"41,804"
2016,CA,Los Angeles,90277,01APR2018:11:21:17,10376,12592,10988,4625,704159,929570,611130,9928,61.6,1035,477572,9011,163,57411,1074,53.5,939806,17579,53.5,195,41,3,339,4424,24411,70,749,12,"35,293"
2016,CA,Los Angeles,90278,01APR2018:11:21:17,10647,2753,7843,4630,109244,777805,640279,10203,62.8,205,97645,1252,142,5336,130,41,102155,2438,41.9,43,40,3,316,27216,13859,16,119,3,"40,071"
2016,CA,Los Angeles,90280,01APR2018:11:21:17,13101,2853,9802,6832,131626,642152,641881,12590,51,222,83084,853,170,10627,236,45,91028,1794,50.7,51,33,6,427,752,9350,19,60,2,"94,396"
2016,CA,Los Angeles,90290,01APR2018:11:21:17,1591,210,0,760,7330,0,91106,1511,60.3,14,8295,74,30,384,9,42.7,5290,172,30.8,10,1,0,53,2,0,4,14,0,"6,368"
2016,CA,Los Angeles,90291,01APR2018:11:21:17,5837,2044,3509,2894,63857,193611,299775,5562,53.9,163,98128,969,122,4663,137,34,68181,2055,33.2,40,15,2,178,2494,8072,11,165,0,"28,341"
2016,CA,Los Angeles,90292,01APR2018:11:21:17,7300,16101,18793,3285,884887,1424301,426785,6975,61.2,1064,705862,9125,170,71664,1379,52,997064,17366,57.4,139,36,0,213,10999,84419,65,962,7,"21,576"
2016,CA,Los Angeles,90293,01APR2018:11:21:17,3113,467,1337,1381,9482,98028,170440,2993,56.9,38,15088,189,51,1438,43,33.4,7265,358,20.3,28,12,0,91,549,1444,3,21,0,"12,132"
2016,CA,Los Angeles,90294,10SEP2017:10:31:20,65,0,0,39,0,0,2303,59,39,0,,0,3,0,0,,0,0,,0,0,0,1,0,0,0,0,0,
2016,CA,Los Angeles,90295,10SEP2017:10:31:20,178,0,0,85,0,0,11791,166,71,0,,1,3,0,0,,150,3,50,1,0,0,4,44,0,0,0,0,
2016,CA,Los Angeles,90296,10SEP2017:10:31:20,79,0,0,19,0,0,4700,73,64.4,0,,0,1,0,0,,0,0,,0,1,0,2,0,2,0,0,0,
2016,CA,Los Angeles,90301,01APR2018:11:21:17,8733,19116,16160,4004,1065913,970945,475686,8537,55.7,1137,643526,7433,139,83785,1497,56,860813,14400,59.8,135,31,1,192,4060,20384,66,853,29,"36,568"
2016,CA,Los Angeles,90302,01APR2018:11:21:17,7558,242,430,3174,5486,23803,433886,7366,58.9,7,5109,65,99,327,15,21.8,2602,111,23.4,5,5,2,194,0,0,2,4,1,"29,415"
2016,CA,Los Angeles,90303,01APR2018:11:21:17,5882,2051,11287,2645,91728,778459,318251,5660,56.2,130,46916,137,83,14269,297,48,9266,268,34.6,7,18,0,155,567,24176,5,28,0,"26,176"
2016,CA,Los Angeles,90304,01APR2018:11:21:17,3669,436,1841,1906,11512,83067,191214,3562,53.7,22,35286,131,39,1116,27,41.3,6755,260,26,6,4,0,93,43,166,2,54,0,"28,210"
2016,CA,Los Angeles,90305,01APR2018:11:21:17,4498,3048,0,1870,196251,0,265813,4357,61,286,103383,1057,66,18512,376,49.2,149838,2228,67.3,12,3,0,120,20,0,5,116,2,"14,853"
2016,CA,Los Angeles,90306,10SEP2017:10:31:20,48,0,0,22,0,0,2901,48,60.4,0,,0,1,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
2016,CA,Los Angeles,90307,10SEP2017:10:31:20,33,0,0,12,0,0,2877,33,87.2,0,,0,0,0,0,,0,0,,1,0,0,0,0,0,0,0,0,
2016,CA,Los Angeles,90308,10SEP2017:10:31:20,50,0,0,25,0,0,3440,50,68.8,0,,0,2,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
2016,CA,Los Angeles,90309,10SEP2017:10:31:20,43,0,0,26,0,0,1762,42,42,0,,0,1,0,0,,0,0,,0,0,0,1,0,0,0,0,0,
2016,CA,Los Angeles,90310,10SEP2017:10:31:20,55,0,0,24,0,0,3038,52,58.4,0,,0,2,0,0,,0,0,,0,0,0,1,0,0,0,0,0,
2016,CA,Los Angeles,90311,10SEP2017:10:31:20,2,0,0,2,0,0,20,1,20,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
2016,CA,Los Angeles,90312,10SEP2017:10:31:20,3,0,0,3,0,0,70,3,23.3,0,,0,1,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
2016,CA,Los Angeles,90401,01APR2018:11:21:17,2582,2520,2197,1174,102940,107070,131797,2447,53.9,316,80468,2449,53,9689,237,40.9,204722,4730,43.3,71,11,0,79,21174,3617,21,135,2,"6,722"
2016,CA,Los Angeles,90402,01APR2018:11:21:17,2666,397,418,1324,17828,30722,147036,2529,58.1,66,15937,633,79,5949,128,46.5,77400,1341,57.7,56,13,2,57,205,885,2,36,0,"12,250"
2016,CA,Los Angeles,90403,01APR2018:11:21:17,6197,8459,6528,3010,577650,406275,316863,6014,52.7,996,656225,9932,136,112096,1673,67,1188616,18811,63.2,142,31,2,178,6288,13920,50,675,22,"24,525"
2016,CA,Los Angeles,90404,01APR2018:11:21:17,11645,47284,23936,3842,2761093,1417149,401065,11224,35.7,3185,2435238,28371,133,218486,3642,60,3221649,54046,59.6,623,75,1,245,49097,41657,280,3535,92,"21,360"
2016,CA,Los Angeles,90405,01APR2018:11:21:17,7398,3490,4305,3348,242662,261397,416154,7002,59.4,251,382337,2122,156,21826,277,78.8,278092,3859,72.1,73,19,3,246,2273,5621,19,298,4,"27,186"
2016,CA,Los Angeles,90406,10SEP2017:10:31:20,131,63,0,58,1125,0,6318,128,49.4,10,1626,10,2,145,7,20.7,427,22,19.4,3,0,0,4,3,0,1,6,0,
2016,CA,Los Angeles,90407,10SEP2017:10:31:20,4,36,0,4,490,0,86,4,21.5,2,621,23,1,0,0,,490,35,14,1,0,0,0,0,0,1,3,0,
2016,CA,Los Angeles,90408,10SEP2017:10:31:20,30,1,0,19,20,0,1173,30,39.1,0,37,1,0,0,0,,20,1,20,0,0,0,1,0,0,0,1,0,
2016,CA,Los Angeles,90409,10SEP2017:10:31:20,40,0,0,24,0,0,2423,40,60.6,0,,0,1,0,0,,0,0,,2,0,0,1,199,0,0,0,0,
2016,CA,Los Angeles,90410,10SEP2017:10:31:20,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
2016,CA,Los Angeles,90411,10SEP2017:10:31:20,3,0,0,3,0,0,56,3,18.7,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
