xYear,State,County,Age_Group,rundatetime,PatCount_Opioid,Population,,
2015,CA,Colusa,45-64 yrs,01APR2018:11:21:17,1659,"21,608",,
2015,CA,Contra Costa,45-64 yrs,01APR2018:11:21:17,84574,"1,043,451",,
2015,CA,Del Norte,45-64 yrs,01APR2018:11:21:17,3259,"28,596",,
2015,CA,El Dorado,45-64 yrs,01APR2018:11:21:17,19397,"180,987",,
2015,CA,Fresno,45-64 yrs,01APR2018:11:21:17,69569,"935,100",,
2015,CA,Glenn,45-64 yrs,01APR2018:11:21:17,2536,"28,708",,
2015,CA,Humboldt,45-64 yrs,01APR2018:11:21:17,13518,"134,681",,
2015,CA,Imperial,45-64 yrs,01APR2018:11:21:17,10608,"170,552",,
2015,CA,Inyo,45-64 yrs,01APR2018:11:21:17,1653,"19,497",,
2015,CA,Kern,45-64 yrs,01APR2018:11:21:17,69952,"841,588",,
2015,CA,Kings,45-64 yrs,01APR2018:11:21:17,9937,"151,702",,
2015,CA,Lake,45-64 yrs,01APR2018:11:21:17,9921,"64,599",,
2015,CA,Lassen,45-64 yrs,01APR2018:11:21:17,3197,"37,144",,
2015,CA,Los Angeles,45-64 yrs,01APR2018:11:21:17,557811,"9,811,939",,
2015,CA,Madera,45-64 yrs,01APR2018:11:21:17,11276,"150,446",,
2015,CA,Marin,45-64 yrs,01APR2018:11:21:17,17926,"251,685",,
2015,CA,Mariposa,45-64 yrs,01APR2018:11:21:17,1940,"16,900",,
2015,CA,Mendocino,45-64 yrs,01APR2018:11:21:17,9538,"87,595",,
2015,CA,Merced,45-64 yrs,01APR2018:11:21:17,20203,"254,483",,
2015,CA,Modoc,45-64 yrs,01APR2018:11:21:17,677,"8,506",,
2015,CA,Mono,45-64 yrs,01APR2018:11:21:17,828,"12,975",,
2015,CA,Monterey,45-64 yrs,01APR2018:11:21:17,25229,"402,842",,
2015,CA,Napa,45-64 yrs,01APR2018:11:21:17,10763,"137,050",,
2015,CA,Nevada,45-64 yrs,01APR2018:11:21:17,9110,"95,997",,
2015,CA,Orange,45-64 yrs,01APR2018:11:21:17,189450,"3,016,237",,
2015,CA,Placer,45-64 yrs,01APR2018:11:21:17,30074,"351,384",,
2015,CA,Plumas,45-64 yrs,01APR2018:11:21:17,1921,"18,613",,
2015,CA,Riverside,45-64 yrs,01APR2018:11:21:17,166647,"2,191,564",,
2015,CA,Sacramento,45-64 yrs,01APR2018:11:21:17,124881,"1,420,705",,
2015,CA,San Benito,45-64 yrs,01APR2018:11:21:17,4028,"53,857",,
2015,CA,San Bernardino,45-64 yrs,01APR2018:11:21:17,161309,"2,032,042",,
2015,CA,San Diego,45-64 yrs,01APR2018:11:21:17,209491,"3,091,958",,
2015,CA,San Francisco,45-64 yrs,01APR2018:11:21:17,43441,"805,232",,
2015,CA,San Joaquin,45-64 yrs,01APR2018:11:21:17,58114,"684,518",,
